volume_number,number,speechiness,key,time_signature,liveness,loudness,duration_ms,danceability,duration,valence,acousticness,energy,tempo,instrumentalness,mode,artist,title
59,11,0.0898,7,3,0.0599,-5.653,201493,0.332,198,0.286,0.159,0.635,186.249,2.79E-06,1,Grace featuring G-Eazy,You Don't Own Me
59,12,0.0449,10,4,0.0974,-5.446,217907,0.749,211,0.342,0.00755,0.881,120.034,7.81E-05,0,Selena Gomez,Kill Em with Kindness
59,13,0.0457,11,4,0.269,-5.728,213428,0.583,211,0.292,0.00312,0.732,145.992,9.86E-06,0,Zara Larsson and MNEK,Never Forget You
59,14,0.146,7,4,0.108,-5.921,215414,0.632,213,0.488,0.0114,0.701,162.958,0,1,Pink,Just Like Fire (From the Original Motion Picture Alice Through the Looking Glass)
59,15,0.0363,9,4,0.107,-4.336,197931,0.517,195,0.66,0.243,0.743,76.979,3.36E-06,1,Maren Morris,My Church
59,16,0.0514,10,4,0.391,-5.829,237300,0.765,236,0.343,0.287,0.473,119.992,0,1,Lukas Graham,7 Years
59,17,0.0786,7,4,0.394,-4.694,189867,0.676,189,0.517,0.0101,0.776,98.054,0.00307,1,Alx Veliz,Dancing Kizomba (English Version)
59,18,0.036,2,4,0.314,-2.298,209014,0.635,205,0.673,0.00411,0.945,125.024,2.41E-05,1,Sigala featuring John Newman and Nile Rodgers,Give Me Your Love
59,19,0.0346,11,4,0.111,-3.707,209427,0.724,209,0.687,0.409,0.848,104.005,0.00028,0,AlunaGeorge featuring Popcaan,I'm in Control
59,20,0.0595,5,4,0.0636,-3.634,159416,0.675,156,0.722,0.0123,0.808,79.972,0,0,Daniel Skye,Smile
59,21,0.0955,5,4,0.343,-3.215,190507,0.615,190,0.663,0.0672,0.824,159.989,0,1,Kaya Stewart,Sleepover
59,22,0.111,0,4,0.286,-9.907,197467,0.955,195,0.574,0.00085,0.673,102.491,0.000474,1,Trap Beckham,Birthday Chick
60,1,0.0331,9,4,0.148,-2.787,222160,0.63,218,0.46,0.199,0.928,123.963,0.124,0,Calvin Harris featuring Rihanna,This Is What You Came For
60,2,0.266,1,4,0.0561,-6.127,210227,0.668,203,0.719,0.0102,0.725,191.944,0.000479,1,Sia featuring Kendrick Lamar,The Greatest
60,3,0.134,1,4,0.179,-8.053,217707,0.728,214,0.35,0.621,0.563,100.017,0,0,Charlie Puth featuring Selena Gomez,We Don't Talk Anymore
60,4,0.0999,9,4,0.154,-5.871,244453,0.636,238,0.384,0.0153,0.728,107.986,1.46E-06,1,Ariana Grande,Into You
60,5,0.1,11,4,0.479,-5.849,181240,0.934,179,0.825,0.0963,0.694,123.822,1.21E-06,0,Meghan Trainor,Me Too
60,6,0.0985,7,4,0.217,-6.651,231266,0.697,229,0.585,0.157,0.7,123.013,0,0,Britney Spears featuring G-Eazy,Make Me...
60,7,0.0528,0,4,0.14,-4.359,234910,0.54,233,0.254,0.446,0.59,119.878,0,1,Flume featuring Kai,Never Be like You
60,8,0.0888,4,4,0.0994,-4.187,181880,0.712,179,0.519,0.39,0.62,99.953,0,1,Hailee Steinfeld and Grey featuring Zedd,Starving
60,9,0.274,2,4,0.178,-4.081,202221,0.657,198,0.551,0.141,0.739,181.994,0,1,Daya,"Sit Still, Look Pretty"
60,10,0.0401,0,4,0.306,-4.745,195547,0.791,193,0.497,0.0903,0.716,121.967,2.73E-05,0,Kungs and Cookin' on 3 Burners,This Girl
60,11,0.281,1,4,0.367,-5.617,244174,0.695,235,0.633,0.245,0.837,115.067,0,0,Pitbull featuring Flo Rida and LunchMoney Lewis,Greenlight
60,12,0.245,11,3,0.123,-8.129,228640,0.487,225,0.247,0.0129,0.532,138.13,0,0,Tory Lanez,Luv
60,13,0.0527,11,4,0.107,-6.4,203475,0.546,196,0.457,0.0397,0.645,101.578,0,1,Katy Perry,Rise
60,14,0.0469,9,4,0.203,-6.134,193546,0.598,188,0.242,0.177,0.673,117.02,0.000316,0,X Ambassadors,Unsteady
60,15,0.0517,0,4,0.12,-3.516,212647,0.565,256,0.43,0.00868,0.849,102.034,4.68E-06,0,Coldplay,Hymn for the Weekend
60,16,0.0703,7,4,0.37,-4.564,206903,0.712,206,0.6,0.0447,0.799,83.996,6.4E-05,0,Lukas Graham,Mama Said
60,17,0.0845,6,4,0.103,-3.227,194951,0.599,193,0.848,0.107,0.818,96.031,0,1,Jacob Whitesides,Lovesick
60,18,0.06,6,4,0.145,-6.827,200693,0.323,196,0.183,0.246,0.509,53.36,0,0,Stanaj,Ain't Love Strange
60,19,0.065,5,4,0.326,-6.614,211340,0.596,208,0.464,0.576,0.629,100.023,0.0158,1,LANY,ILYSB
60,20,0.125,4,4,0.324,-4.934,203080,0.521,201,0.343,0.00327,0.885,115.985,0.00904,0,Weathers,Happy Pills
60,21,0.0878,4,4,0.369,-3.752,187813,0.598,185,0.518,0.0106,0.914,103.972,1.22E-06,1,Coin,Talk Too Much
60,22,0.0337,5,4,0.0819,-3.938,196663,0.681,196,0.778,0.0499,0.739,130.046,0,0,Aaron Carter,Fool's Gold
61,1,0.0797,1,4,0.153,-4.282,225983,0.818,224,0.618,0.034,0.803,106.97,0,1,Bruno Mars,24K Magic
61,2,0.0792,7,4,0.0956,-6.142,214480,0.777,212,0.432,0.356,0.627,100.054,0,1,Maroon 5 featuring Kendrick Lamar,Don't Wanna Know
61,3,0.139,0,4,0.11,-5.751,230227,0.591,225,0.439,0.0294,0.741,97.048,0,1,Alessia Cara,Scars to Your Beautiful
61,4,0.232,6,4,0.328,-5.914,226160,0.65,222,0.624,0.0373,0.728,159.167,0,0,Ariana Grande featuring Nicki Minaj,Side to Side
61,5,0.0368,8,4,0.144,-5.311,205947,0.652,203,0.147,0.0771,0.713,100.023,1.02E-05,1,DJ Snake featuring Justin Bieber,Let Me Love You
61,6,0.284,7,4,0.136,-7.033,230453,0.675,227,0.49,0.168,0.595,185.998,3.36E-06,1,The Weeknd featuring Daft Punk,Starboy
61,7,0.0614,0,4,0.14,-6.235,291893,0.794,291,0.331,0.13,0.646,145.931,0,1,Rae Sremmurd featuring Gucci Mane,Black Beatles
61,8,0.132,8,4,0.057,-7.39,225205,0.886,223,0.711,0.236,0.525,145.99,0,1,D.R.A.M. featuring Lil Yachty,Broccoli
61,9,0.167,1,4,0.0625,-5.391,102857,0.808,144,0.638,0.00476,0.919,154.009,1.11E-06,1,Zay Hilfigerrr & Zayion McCall,Juju on That Beat (TZ Anthem)
61,10,0.121,5,4,0.365,-4.245,204013,0.596,203,0.597,0.0358,0.851,202.049,3.19E-05,0,Fifth Harmony,That's My Girl
61,11,0.166,0,4,0.0924,-4.259,217603,0.584,214,0.508,0.0508,0.569,89.779,0,1,Jon Bellion,All Time Low
61,12,0.0409,4,4,0.454,-5.88,195707,0.501,196,0.157,0.109,0.519,133.99,0,0,Martin Garrix & Bebe Rexha,In the Name of Love
61,13,0.0351,8,4,0.088,-4.81,212305,0.69,210,0.274,0.0973,0.697,122.048,0,0,Hey Violet,Guys My Age
61,14,0.36,10,4,0.11,-4.133,187973,0.455,186,0.773,0.132,0.797,165.717,0,0,Shawn Mendes,Treat You Better
61,15,0.0297,9,4,0.126,-7.739,232600,0.69,229,0.178,0.711,0.407,111.916,0,1,Niall Horan,This Town
61,16,0.3,6,4,0.101,-13.4,251034,0.492,226,0.18,0.687,0.275,92.6,0,0,Gnash featuring Olivia O'Brien,"I Hate U, I Love U"
61,17,0.082,11,4,0.0639,-2.965,231000,0.625,228,0.428,0.0408,0.865,167.919,2.8E-05,0,Citizen Four,Testify
61,18,0.0683,5,4,0.106,-5.211,239773,0.549,238,0.517,0.00413,0.884,124.046,0.00148,0,Dagny featuring BÌürns,Fool's Gold
61,19,0.246,0,4,0.25,-7.609,220606,0.723,195,0.354,0.0509,0.745,98.952,0,1,JoJo featuring Wiz Khalifa,No Apologies
61,20,0.107,8,4,0.211,-2.25,225353,0.782,223,0.405,0.0691,0.742,122.031,1.82E-06,1,Aanysa,Burn Break Crash
61,21,0.0497,9,4,0.101,-13.978,188207,0.83,185,0.172,0.319,0.315,104.045,0.0113,0,Maggie Rogers,Alaska
61,22,0.0478,2,4,0.231,-5.712,183988,0.695,183,0.262,0.0151,0.741,95.006,0.0442,1,Urban Cone,Old School
